advisory_id,condition,faithfulness,answer_relevancy,context_recall,context_precision,hallucination_rate,trust_score,cve_f1,ttp_f1,latency_ms
REAL-001,A,0.0,0.4716,0.0,0.0,0.1759,59.7223,1.0,0.3636,49050.5228
REAL-002,A,0.0,0.5479,0.0,0.0,0.1431,64.7082,1.0,0.4444,15223.3601
REAL-003,A,0.0,0.2526,0.0,0.0,0.4513,52.9615,1.0,0.2,13202.9419
REAL-004,A,0.0,0.441,0.0,0.0,0.1942,60.6745,1.0,0.0,12899.1652
REAL-005,A,0.0,0.4489,0.0,0.0,0.1841,60.9773,1.0,0.5714,16866.7569
REAL-006,A,0.0,0.2736,0.0,0.0,0.2437,59.1876,1.0,0.0,13818.9399
REAL-007,A,0.0,0.3935,0.0,0.0,0.4028,57.4107,1.0,0.2222,14309.6998
REAL-008,A,0.0,0.3246,0.0,0.0,0.2385,61.5503,1.0,0.5,13055.7671
REAL-009,A,0.0,0.4189,0.0,0.0,0.1973,60.9159,1.0,0.5,14231.679
REAL-010,A,0.0,0.3943,0.0,0.0,0.2081,60.6588,1.0,0.25,13333.2582
REAL-001,B,1.0,0.4716,0.0,0.0,0.1759,60.1952,1.0,0.3636,30205.7922
REAL-002,B,1.0,0.5479,0.0,0.0,0.1431,65.1201,1.0,0.4444,17756.8262
REAL-003,B,1.0,0.2526,0.0,0.0,0.4513,52.9994,1.0,0.2,14732.4831
REAL-004,B,1.0,0.441,0.0,0.0,0.1942,61.1087,1.0,0.0,12588.412
REAL-005,B,1.0,0.4489,0.0,0.0,0.1841,61.4319,1.0,0.5714,14286.701
REAL-006,B,1.0,0.2736,0.0,0.0,0.2437,59.6287,1.0,0.0,13277.0388
REAL-007,B,1.0,0.3935,0.0,0.0,0.4028,57.3844,1.0,0.2222,13489.2108
REAL-008,B,1.0,0.3246,0.0,0.0,0.2385,61.979,1.0,0.5,14659.744
REAL-009,B,1.0,0.4189,0.0,0.0,0.1973,60.9756,1.0,0.5,14760.1032
REAL-010,B,1.0,0.3943,0.0,0.0,0.2081,60.6753,1.0,0.25,14904.4662
REAL-001,C,1.0,0.4716,0.0,0.0,0.1759,60.1916,1.0,0.3636,34628.6001
REAL-002,C,1.0,0.5479,0.0,0.0,0.1431,63.6506,1.0,0.4444,46016.3968
REAL-003,C,1.0,0.2526,0.0,0.0,0.4513,51.6231,1.0,0.2,34166.805
REAL-004,C,1.0,0.441,0.0,0.0,0.1942,59.5745,1.0,0.0,20122.1991
REAL-005,C,1.0,0.4489,0.0,0.0,0.1841,59.8102,1.0,0.5714,59047.2052
REAL-006,C,1.0,0.2736,0.0,0.0,0.2437,57.9789,1.0,0.0,38183.4641
REAL-007,C,1.0,0.3935,0.0,0.0,0.4028,55.6159,1.0,0.2222,60762.0432
REAL-008,C,1.0,0.3246,0.0,0.0,0.2385,60.1917,1.0,0.5,24781.209
REAL-009,C,1.0,0.4189,0.0,0.0,0.1973,59.3457,1.0,0.5,44940.105
REAL-010,C,1.0,0.3943,0.0,0.0,0.2081,59.0139,1.0,0.25,35106.9381
