advisory_id,condition,faithfulness,answer_relevancy,context_recall,context_precision,hallucination_rate,trust_score,cve_f1,ttp_f1,latency_ms
REAL-001,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-002,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-003,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-004,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-005,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-006,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-007,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-008,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-009,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-010,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-001,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-002,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-003,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-004,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-005,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-006,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-007,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-008,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-009,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-010,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-001,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-002,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-003,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-004,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-005,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-006,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-007,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-008,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-009,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL-010,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
